Date,Location,Location Name,Zip Code,Lat,Long,# Meals
2023-10-01,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2023-10-02,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2023-10-03,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,43
2023-10-04,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2023-10-05,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2023-10-06,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-10-07,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2023-10-08,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2023-10-09,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,38
2023-10-10,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2023-10-11,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2023-10-12,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-10-13,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,39
2023-10-14,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2023-10-15,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2023-10-16,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,21
2023-10-17,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2023-10-18,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-10-19,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2023-10-20,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2023-10-21,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2023-10-22,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,19
2023-10-23,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2023-10-24,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2023-10-25,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2023-10-26,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
